Location,Soil_Type,Fertility_Index,Land_Use_Type,Average_Rainfall(mm),Temperature(°C),Crop_Suitability,Season,Satellite_Observation_Date,Remarks,Crop_Name,Price
7,1,22,0,22,86,6,1,2024-09-24,Requires attention,Wheat,70
2,3,23,3,68,38,1,0,2024-01-31,Moderate potential,Maize,40
6,2,11,0,56,120,1,0,2024-03-11,Requires attention,Maize,40
3,3,27,1,286,116,6,0,2024-09-29,Low potential,Wheat,70
6,2,23,0,187,1,2,3,2024-04-01,Moderate potential,Rice,60
5,0,18,1,295,93,5,1,2024-01-12,High potential,Vegetables,80
5,4,28,1,274,138,4,3,2024-09-06,Low potential,Tea,400
1,1,9,0,21,70,0,2,2024-08-05,Moderate potential,Jute,100
0,4,24,0,107,21,5,1,2024-12-21,High potential,Vegetables,80
2,3,21,2,251,79,2,0,2024-03-01,Requires attention,Rice,60
6,1,36,3,305,19,2,1,2024-08-13,Low potential,Rice,60
3,0,4,1,1,125,0,3,2024-02-20,Requires attention,Jute,100
1,4,3,3,45,135,6,0,2024-07-14,Requires attention,Wheat,70
4,4,53,2,161,93,3,1,2024-06-07,High potential,Spices,70
6,0,43,0,168,5,5,2,2024-04-02,High potential,Vegetables,80
0,3,39,1,230,25,2,0,2024-06-05,Low potential,Rice,60
6,1,4,3,78,104,4,1,2024-12-15,Low potential,Tea,400
1,3,1,3,286,12,1,2,2024-11-06,Low potential,Maize,40
3,0,51,0,23,94,1,2,2024-09-14,Low potential,Maize,40
3,4,27,2,172,7,1,3,2024-03-30,Moderate potential,Maize,40
5,3,39,1,36,146,1,2,2024-12-26,High potential,Maize,40
4,1,22,3,181,118,4,0,2024-03-14,High potential,Tea,400
6,1,3,1,167,96,3,3,2024-10-23,Moderate potential,Spices,70
5,2,32,0,205,132,5,0,2024-11-03,Requires attention,Vegetables,80
7,2,1,1,11,37,6,3,2024-12-06,Moderate potential,Wheat,70
6,2,50,2,138,40,0,1,2024-10-21,Low potential,Jute,100
4,1,53,3,29,85,0,3,2024-01-02,Low potential,Jute,100
0,1,9,1,258,93,2,2,2024-10-22,High potential,Rice,60
1,0,43,1,289,143,0,2,2024-12-18,Requires attention,Jute,100
0,1,33,3,325,80,6,0,2024-05-14,Low potential,Wheat,70
2,0,39,0,98,147,6,0,2024-05-15,Low potential,Wheat,70
2,4,36,1,269,137,2,0,2024-07-16,High potential,Rice,60
5,0,32,3,122,124,4,2,2024-04-12,Moderate potential,Tea,400
3,0,46,2,219,59,1,3,2024-11-26,High potential,Maize,40
4,2,9,3,281,45,6,3,2024-02-08,Moderate potential,Wheat,70
3,2,26,1,236,36,4,1,2024-07-24,Requires attention,Tea,400
4,3,51,2,339,117,0,3,2024-01-10,Moderate potential,Jute,100
1,1,56,2,268,119,1,0,2024-03-10,High potential,Maize,40
4,0,28,2,282,93,0,1,2024-05-16,High potential,Jute,100
5,1,55,0,71,132,5,2,2024-08-17,High potential,Vegetables,80
1,0,41,3,260,14,0,2,2024-04-04,High potential,Jute,100
4,4,32,1,322,108,6,2,2024-05-02,Low potential,Wheat,70
6,1,36,2,235,139,1,3,2024-08-29,Low potential,Maize,40
4,2,46,2,57,33,3,2,2024-01-13,Low potential,Spices,70
3,1,4,0,313,17,3,2,2024-06-09,High potential,Spices,70
0,0,38,1,299,111,2,1,2024-07-31,Low potential,Rice,60
4,3,22,3,167,7,1,3,2024-01-26,Moderate potential,Maize,40
4,3,18,1,114,74,4,3,2024-02-05,Requires attention,Tea,400
1,1,21,0,271,139,5,3,2024-05-11,Low potential,Vegetables,80
4,4,42,3,260,39,5,1,2024-08-13,High potential,Vegetables,80
2,1,22,3,244,60,6,1,2024-12-06,Requires attention,Wheat,70
4,2,27,0,342,41,3,3,2024-07-22,Requires attention,Spices,70
1,4,6,3,138,31,4,0,2024-06-23,High potential,Tea,400
5,0,38,2,171,80,0,1,2024-12-22,Low potential,Jute,100
7,4,7,3,243,12,0,2,2024-06-16,Moderate potential,Jute,100
1,2,49,2,298,122,5,3,2024-03-13,High potential,Vegetables,80
6,2,39,3,343,113,3,0,2024-09-13,High potential,Spices,70
3,0,33,0,106,54,6,3,2024-09-07,Requires attention,Wheat,70
3,1,59,3,210,103,1,2,2024-08-10,Low potential,Maize,40
5,2,6,0,183,13,5,1,2024-05-15,Requires attention,Vegetables,80
1,2,25,0,337,69,4,1,2024-05-10,Low potential,Tea,400
2,2,5,2,223,73,4,0,2024-06-06,Moderate potential,Tea,400
6,2,10,2,230,88,5,0,2024-11-30,Requires attention,Vegetables,80
7,2,50,3,323,16,3,1,2024-03-25,Low potential,Spices,70
4,3,33,3,132,68,1,1,2024-12-19,Requires attention,Maize,40
3,3,41,3,167,143,5,3,2024-09-03,Requires attention,Vegetables,80
5,4,51,2,262,54,3,2,2024-10-31,Requires attention,Spices,70
1,1,18,0,284,40,1,2,2024-10-26,Requires attention,Maize,40
7,2,34,2,291,82,3,2,2024-12-13,Moderate potential,Spices,70
3,2,11,1,323,41,0,2,2024-12-07,Moderate potential,Jute,100
2,4,43,1,44,7,3,0,2024-11-18,High potential,Spices,70
2,0,47,3,250,132,2,2,2024-05-07,High potential,Rice,60
2,3,54,2,336,13,4,0,2024-09-17,Moderate potential,Tea,400
5,3,24,0,123,141,6,2,2024-05-15,Moderate potential,Wheat,70
2,2,55,2,297,41,4,1,2024-03-17,Moderate potential,Tea,400
3,4,3,3,258,136,3,0,2024-01-16,Low potential,Spices,70
4,0,57,2,245,133,0,2,2024-01-01,High potential,Jute,100
6,2,33,3,150,114,0,3,2024-07-09,Low potential,Jute,100
2,3,26,2,169,7,5,2,2024-10-31,Moderate potential,Vegetables,80
7,0,0,3,147,27,3,0,2024-03-17,Moderate potential,Spices,70
3,3,34,3,252,80,5,0,2024-04-10,Moderate potential,Vegetables,80
6,2,57,0,274,74,3,0,2024-12-08,High potential,Spices,70
4,2,34,3,123,81,3,2,2024-07-25,High potential,Spices,70
6,3,56,3,334,41,2,1,2024-12-17,High potential,Rice,60
3,3,24,0,123,11,4,1,2024-08-17,Moderate potential,Tea,400
7,3,54,2,44,34,0,0,2024-05-25,Requires attention,Jute,100
6,0,36,1,55,72,5,0,2024-02-22,Moderate potential,Vegetables,80
0,1,32,1,326,36,6,3,2024-08-24,Low potential,Wheat,70
7,1,33,0,28,77,2,2,2024-05-11,Low potential,Rice,60
3,1,60,1,166,27,3,0,2024-03-19,Requires attention,Spices,70
2,1,31,1,312,71,5,0,2024-10-19,Requires attention,Vegetables,80
0,3,44,2,11,141,2,0,2024-07-15,Requires attention,Rice,60
5,4,53,0,254,53,0,3,2024-04-17,Moderate potential,Jute,100
1,2,10,3,250,118,5,3,2024-08-10,Requires attention,Vegetables,80
2,2,58,3,34,73,3,1,2024-05-17,Requires attention,Spices,70
6,0,24,3,33,28,3,2,2024-02-06,High potential,Spices,70
4,2,12,2,20,44,4,2,2024-05-15,High potential,Tea,400
1,2,47,0,30,72,6,2,2024-12-16,High potential,Wheat,70
7,4,60,1,145,26,6,2,2024-03-05,High potential,Wheat,70
3,0,14,0,337,63,0,0,2024-06-13,Low potential,Jute,100
6,1,44,1,110,30,3,2,2024-11-19,Low potential,Spices,70
1,0,47,3,105,40,3,1,2024-11-27,High potential,Spices,70
0,0,38,0,192,60,3,1,2024-01-02,Moderate potential,Spices,70
4,4,42,2,39,77,1,0,2024-05-05,Requires attention,Maize,40
1,0,12,0,183,11,6,1,2024-07-13,Moderate potential,Wheat,70
1,2,40,3,178,3,2,3,2024-06-15,High potential,Rice,60
7,0,60,2,197,83,1,1,2024-06-01,Moderate potential,Maize,40
6,4,26,3,174,11,4,2,2024-02-05,Low potential,Tea,400
6,2,48,0,151,47,1,3,2024-10-31,Moderate potential,Maize,40
1,1,10,0,79,9,4,3,2024-11-15,Low potential,Tea,400
3,1,8,3,64,60,3,0,2024-12-15,Requires attention,Spices,70
0,3,45,1,315,2,1,1,2024-10-13,Low potential,Maize,40
2,2,37,2,239,116,1,3,2024-06-20,Requires attention,Maize,40
3,3,25,0,43,24,0,1,2024-04-06,Low potential,Jute,100
6,4,8,0,90,133,2,0,2024-05-16,Low potential,Rice,60
1,2,48,0,89,87,4,1,2024-12-24,Moderate potential,Tea,400
6,4,38,2,179,30,0,1,2024-03-11,Requires attention,Jute,100
3,0,4,1,107,112,2,1,2024-07-04,Moderate potential,Rice,60
1,3,3,0,50,54,3,3,2024-11-15,Requires attention,Spices,70
6,1,59,3,136,148,0,2,2024-01-30,Low potential,Jute,100
0,1,34,1,249,1,1,2,2024-09-23,Moderate potential,Maize,40
3,1,19,0,265,104,4,1,2024-04-24,High potential,Tea,400
0,0,35,2,142,38,2,0,2024-08-13,Low potential,Rice,60
1,1,4,3,248,122,4,0,2024-07-20,Requires attention,Tea,400
5,2,44,1,342,20,3,2,2024-08-24,High potential,Spices,70
1,2,48,0,230,4,3,3,2024-11-12,High potential,Spices,70
3,3,34,2,235,109,4,3,2024-11-13,Moderate potential,Tea,400
