iter	Passed	Remaining
0	201	201730
1	239	119566
2	287	95470
3	335	83425
4	355	70692
5	397	65881
6	443	62888
7	490	60767
8	536	59066
9	582	57701
10	634	57074
11	684	56341
12	736	55890
13	783	55182
14	830	54521
15	875	53851
16	925	53537
17	978	53404
18	1026	53022
19	1079	52907
20	1127	52559
21	1187	52777
22	1245	52902
23	1295	52665
24	1345	52489
25	1395	52286
26	1442	51974
27	1501	52127
28	1553	52001
29	1606	51947
30	1618	50587
31	1662	50285
32	1720	50429
33	1771	50342
34	1819	50158
35	1870	50088
36	1919	49964
37	1968	49839
38	2024	49878
39	2072	49740
40	2123	49670
41	2175	49617
42	2223	49486
43	2279	49522
44	2339	49651
45	2393	49642
46	2441	49501
47	2487	49339
48	2555	49605
49	2605	49503
50	2660	49505
51	2712	49448
52	2760	49329
53	2811	49247
54	2856	49087
55	2905	48974
56	2953	48865
57	3005	48806
58	3060	48810
59	3111	48746
60	3159	48629
61	3205	48489
62	3253	48390
63	3303	48314
64	3353	48232
65	3389	47961
66	3439	47892
67	3453	47339
68	3506	47309
69	3558	47277
70	3606	47192
71	3653	47091
72	3704	47044
73	3755	46990
74	3805	46939
75	3861	46944
76	3911	46887
77	3963	46849
78	4011	46769
79	4059	46679
80	4111	46644
81	4165	46637
82	4222	46653
83	4274	46612
84	4321	46516
85	4370	46451
86	4421	46399
87	4475	46377
88	4523	46304
89	4579	46307
90	4638	46331
91	4691	46304
92	4741	46240
93	4798	46247
94	4850	46205
95	4905	46189
96	4957	46146
97	5007	46092
98	5065	46098
99	5115	46036
100	5163	45960
101	5214	45908
102	5272	45914
103	5330	45923
104	5381	45870
105	5436	45850
106	5495	45865
107	5546	45812
108	5599	45772
109	5651	45726
110	5707	45708
111	5763	45696
112	5816	45653
113	5870	45624
114	5926	45609
115	5982	45593
116	6037	45565
117	6095	45560
118	6152	45549
119	6207	45522
120	6262	45490
121	6317	45467
122	6374	45451
123	6433	45451
124	6491	45440
125	6542	45384
126	6591	45311
127	6644	45266
128	6698	45225
129	6757	45221
130	6816	45218
131	6872	45191
132	6927	45157
133	6983	45129
134	7039	45102
135	7095	45074
136	7150	45042
137	7209	45035
138	7264	45001
139	7313	44927
140	7368	44891
141	7428	44882
142	7476	44807
143	7533	44784
144	7586	44733
145	7636	44670
146	7684	44589
147	7734	44523
148	7784	44463
149	7838	44417
150	7896	44396
151	7958	44402
152	8008	44336
153	8062	44292
154	8116	44246
155	8170	44203
156	8222	44151
157	8278	44119
158	8331	44065
159	8385	44021
160	8439	43977
161	8497	43954
162	8553	43923
163	8606	43874
164	8659	43824
165	8713	43776
166	8769	43741
167	8821	43688
168	8876	43645
169	8933	43614
170	8990	43584
171	9046	43547
172	9100	43505
173	9162	43493
174	9222	43477
175	9279	43443
176	9329	43380
177	9383	43332
178	9430	43252
179	9486	43214
180	9544	43189
181	9602	43160
182	9657	43114
183	9711	43068
184	9764	43017
185	9827	43006
186	9883	42968
187	9939	42931
188	9994	42884
189	10043	42817
190	10095	42760
191	10153	42730
192	10209	42691
193	10260	42628
194	10317	42592
195	10373	42553
196	10429	42511
197	10485	42473
198	10541	42429
199	10592	42368
200	10646	42319
201	10702	42280
202	10763	42260
203	10820	42219
204	10878	42186
205	10938	42159
206	10995	42124
207	11050	42077
208	11108	42042
209	11166	42006
210	11224	41970
211	11278	41921
212	11340	41902
213	11399	41868
214	11458	41837
215	11512	41786
216	11597	41848
217	11654	41806
218	11715	41781
219	11771	41733
220	11835	41719
221	11892	41677
222	11953	41649
223	12016	41628
224	12074	41590
225	12134	41557
226	12198	41537
227	12257	41503
228	12316	41465
229	12375	41429
230	12432	41388
231	12485	41332
232	12542	41288
233	12590	41215
234	12646	41168
235	12713	41157
236	12783	41155
237	12861	41178
238	12944	41217
239	13023	41241
240	13091	41229
241	13158	41214
242	13229	41211
243	13302	41217
244	13362	41176
245	13421	41137
246	13476	41084
247	13538	41052
248	13596	41006
249	13646	40939
250	13703	40891
251	13763	40854
252	13822	40811
253	13881	40770
254	13936	40715
255	13995	40675
256	14054	40631
257	14126	40628
258	14184	40581
259	14238	40524
260	14295	40477
261	14346	40411
262	14407	40373
263	14464	40323
264	14520	40272
265	14575	40220
266	14634	40177
267	14689	40121
268	14745	40069
269	14805	40029
270	14855	39961
271	14912	39913
272	14965	39852
273	15020	39798
274	15068	39726
275	15122	39668
276	15177	39615
277	15236	39571
278	15289	39512
279	15346	39463
280	15408	39424
281	15462	39367
282	15518	39316
283	15579	39278
284	15637	39231
285	15693	39179
286	15754	39138
287	15816	39101
288	15880	39069
289	15942	39032
290	16001	38986
291	16055	38929
292	16111	38875
293	16169	38829
294	16236	38802
295	16294	38755
296	16380	38772
297	16439	38725
298	16500	38684
299	16558	38636
300	16611	38575
301	16662	38511
302	16717	38456
303	16775	38408
304	16836	38364
305	16897	38323
306	16950	38263
307	17005	38208
308	17065	38162
309	17121	38110
310	17188	38080
311	17252	38044
312	17308	37989
313	17364	37935
314	17423	37889
315	17477	37830
316	17547	37806
317	17615	37778
318	17689	37763
319	17745	37710
320	17802	37657
321	17861	37609
322	17914	37548
323	17972	37497
324	18037	37461
325	18097	37416
326	18197	37452
327	18260	37411
328	18316	37357
329	18383	37323
330	18446	37283
331	18503	37229
332	18566	37189
333	18621	37131
334	18687	37096
335	18744	37043
336	18806	36999
337	18877	36973
338	18942	36935
339	19004	36890
340	19069	36852
341	19127	36800
342	19194	36766
343	19257	36722
344	19320	36680
345	19380	36632
346	19439	36581
347	19506	36545
348	19573	36510
349	19634	36463
350	19692	36411
351	19756	36370
352	19818	36323
353	19885	36288
354	19947	36241
355	20011	36201
356	20081	36168
357	20141	36119
358	20209	36083
359	20271	36038
360	20332	35990
361	20403	35959
362	20465	35912
363	20528	35868
364	20586	35814
365	20645	35763
366	20713	35726
367	20779	35685
368	20834	35626
369	20908	35600
370	20979	35569
371	21049	35535
372	21120	35502
373	21183	35457
374	21241	35402
375	21300	35349
376	21352	35284
377	21417	35242
378	21482	35198
379	21542	35148
380	21597	35088
381	21646	35019
382	21699	34956
383	21758	34904
384	21821	34857
385	21876	34797
386	21931	34739
387	21981	34671
388	22035	34611
389	22088	34548
390	22145	34492
391	22202	34437
392	22290	34427
393	22350	34376
394	22407	34320
395	22463	34263
396	22524	34211
397	22579	34153
398	22639	34101
399	22697	34046
400	22750	33984
401	22810	33932
402	22872	33883
403	22929	33825
404	22984	33767
405	23045	33716
406	23098	33654
407	23154	33596
408	23213	33542
409	23269	33485
410	23324	33426
411	23379	33366
412	23447	33326
413	23504	33269
414	23561	33212
415	23613	33149
416	23673	33097
417	23737	33050
418	23796	32997
419	23853	32940
420	23912	32886
421	23966	32826
422	24022	32768
423	24082	32715
424	24142	32663
425	24202	32611
426	24271	32570
427	24329	32515
428	24389	32462
429	24444	32402
430	24500	32345
431	24558	32289
432	24618	32237
433	24685	32193
434	24742	32137
435	24794	32074
436	24858	32025
437	24917	31971
438	24973	31914
439	25035	31863
440	25099	31815
441	25153	31755
442	25213	31702
443	25271	31646
444	25357	31626
445	25429	31587
446	25482	31525
447	25545	31475
448	25616	31436
449	25684	31392
450	25753	31349
451	25812	31295
452	25890	31262
453	25953	31213
454	26014	31160
455	26082	31115
456	26136	31055
