district,season,crop_name,suitability_score,popularity
ঢাকা,রবি,ধান,92,উচ্চ
ঢাকা,রবি,ভুট্টা,91,নিম্ন
ঢাকা,রবি,পাট,80,মধ্যম
ঢাকা,রবি,আলু,71,মধ্যম
ঢাকা,খরিপ,সূর্যমুখী,80,নিম্ন
ঢাকা,খরিপ,সয়াবিন,71,মধ্যম
ঢাকা,খরিপ,রসুন,71,নিম্ন
ঢাকা,শীত,রসুন,76,উচ্চ
ঢাকা,শীত,আলু,73,নিম্ন
ঢাকা,শীত,পেঁয়াজ,83,মধ্যম
ঢাকা,শীত,সূর্যমুখী,83,উচ্চ
ঢাকা,বর্ষা,রসুন,70,উচ্চ
ঢাকা,বর্ষা,ভুট্টা,85,নিম্ন
ঢাকা,বর্ষা,আলু,87,নিম্ন
ঢাকা,বর্ষা,পাট,93,উচ্চ
ময়মনসিংহ,রবি,আলু,77,মধ্যম
ময়মনসিংহ,রবি,রসুন,89,উচ্চ
ময়মনসিংহ,রবি,মরিচ,95,উচ্চ
ময়মনসিংহ,খরিপ,সয়াবিন,89,মধ্যম
ময়মনসিংহ,খরিপ,আলু,82,নিম্ন
ময়মনসিংহ,খরিপ,সূর্যমুখী,91,মধ্যম
ময়মনসিংহ,খরিপ,ভুট্টা,74,মধ্যম
ময়মনসিংহ,খরিপ,রসুন,74,মধ্যম
ময়মনসিংহ,শীত,সূর্যমুখী,90,উচ্চ
ময়মনসিংহ,শীত,আলু,70,নিম্ন
ময়মনসিংহ,শীত,সয়াবিন,70,মধ্যম
ময়মনসিংহ,বর্ষা,গম,93,মধ্যম
ময়মনসিংহ,বর্ষা,সূর্যমুখী,91,নিম্ন
ময়মনসিংহ,বর্ষা,ভুট্টা,95,মধ্যম
ময়মনসিংহ,বর্ষা,রসুন,77,উচ্চ
রংপুর,রবি,ধান,91,নিম্ন
রংপুর,রবি,পেঁয়াজ,76,মধ্যম
রংপুর,রবি,সয়াবিন,78,মধ্যম
রংপুর,খরিপ,ধান,74,উচ্চ
রংপুর,খরিপ,গম,93,নিম্ন
রংপুর,খরিপ,পাট,80,নিম্ন
রংপুর,খরিপ,রসুন,70,উচ্চ
