district,season,avg_temp,avg_rainfall,humidity,sunlight_hours
খুলনা,রবি,28,234,63,8
খুলনা,খরিপ,35,314,63,9
খুলনা,শীত,32,72,80,7
খুলনা,বর্ষা,27,335,79,6
ময়মনসিংহ,রবি,25,197,63,6
ময়মনসিংহ,খরিপ,19,259,94,10
ময়মনসিংহ,শীত,16,98,94,10
ময়মনসিংহ,বর্ষা,28,316,70,9
বরিশাল,রবি,27,270,82,8
বরিশাল,খরিপ,29,318,73,7
বরিশাল,শীত,33,60,74,8
বরিশাল,বর্ষা,31,94,70,10
কুষ্টিয়া,রবি,18,323,88,6
কুষ্টিয়া,খরিপ,18,61,76,9
কুষ্টিয়া,শীত,25,192,75,6
কুষ্টিয়া,বর্ষা,28,370,82,10
ঢাকা,রবি,17,254,92,10
ঢাকা,খরিপ,19,75,91,7
ঢাকা,শীত,21,56,77,7
ঢাকা,বর্ষা,31,315,89,8
সিলেট,রবি,27,311,79,7
সিলেট,খরিপ,19,254,71,7
সিলেট,শীত,22,257,66,10
সিলেট,বর্ষা,29,68,87,8
রাজশাহী,রবি,16,206,73,9
রাজশাহী,খরিপ,30,191,69,10
রাজশাহী,শীত,35,101,81,10
রাজশাহী,বর্ষা,35,143,89,10
বগুড়া,রবি,24,82,83,6
বগুড়া,খরিপ,30,51,78,9
বগুড়া,শীত,30,157,69,10
বগুড়া,বর্ষা,26,242,78,9
রংপুর,রবি,32,275,67,7
রংপুর,খরিপ,18,218,63,6
রংপুর,শীত,15,277,61,10
রংপুর,বর্ষা,15,225,65,9
চট্টগ্রাম,রবি,34,374,87,10
চট্টগ্রাম,খরিপ,31,191,93,6
চট্টগ্রাম,শীত,27,163,85,7
চট্টগ্রাম,বর্ষা,22,398,64,7
